Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Reaction starts, s4, 0, 0, 0, 0, 509576, NO TRIGGER, -9223372036854775808
Reaction ends, s4, 0, 0, 0, 0, 510590, NO TRIGGER, -9223372036854775808
Reaction starts, ns_federate__plant_2, 0, 0, 0, 0, 511472, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__plant_2, 0, 0, 0, 0, 512064, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 512281, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 0, 0, 1944727, NO TRIGGER, 0
Worker wait starts, NO REACTOR, 0, -1, 0, 0, 1944986, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 300000000, 0, 301136922, NO TRIGGER, 0
Reaction starts, s4, 0, 1, 300000000, 0, 301138026, NO TRIGGER, -9223372036854775808
Reaction ends, s4, 0, 1, 300000000, 0, 301138415, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 300000000, 0, 301139262, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 300000000, 0, 301472560, NO TRIGGER, 0
Reaction starts, nr_federate__s4_1, 0, 0, 300000000, 0, 301473070, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s4_1, 0, 0, 300000000, 0, 301473976, NO TRIGGER, -9223372036854775808
Reaction starts, s4, 0, 2, 300000000, 0, 301474508, NO TRIGGER, -9223372036854775808
Reaction ends, s4, 0, 2, 300000000, 0, 301474673, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 300000000, 0, 301475046, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 300000000, 0, 301475201, NO TRIGGER, 0
Worker wait starts, NO REACTOR, 0, -1, 300000000, 0, 301475305, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 300000000, 0, 301763489, NO TRIGGER, 0
Reaction starts, nr_federate__s4_2, 0, 0, 300000000, 0, 301765407, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s4_2, 0, 0, 300000000, 0, 301766620, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 300000000, 0, 301767257, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 0, -1, 300000000, 0, 301767505, NO TRIGGER, 0
Reaction starts, s4, 0, 4, 300000000, 0, 301767767, NO TRIGGER, -9223372036854775808
Reaction ends, s4, 0, 4, 300000000, 0, 301767998, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 0, -1, 300000000, 0, 301768564, NO TRIGGER, 0
