metric,period_ms,ms
KVS,50,16
KVSIvPSim,50,14
IvPSim,50,19
IvPSim,50,22
IvPSim,50,17
IvPSim,50,29
IvPSim,50,14
IvPSim,50,16
IvPSim,50,27
IvPSim,50,12
IvPSim,50,28
IvPSim,50,17
IvPSim,50,21
IvPSim,50,21
IvPSim,50,20
IvPSim,50,17
IvPSim,50,21
IvPSim,50,17
IvPSim,50,25
IvPSim,50,18
50,5
KVS,50,6
KKVS,5KVSKVKVS,50,1KVKVS,50,1KKVS,50KVSKVS,50,6
KVKVS,50,KVS,50KVSKVKVS,50,1KVKVS,50KVS,50,KVS,50,12
KVS,50,12
KVS,50,8
KKVKVS,50,KVSKVS,5KVS,50,6
KVS,50KVS,50,9
KVSKVS,50,9
KVSKVSKVKVS,50,1KVKVKVS,50,7
KVS,KVSKVKVS,50,1KVKVS,50,8
KVS,KVS,5KVKVS,50,1KKVS,50,7
KVS,50,8
KKVS,50,9
KVS,50,10
KVS,50,10
0
