metric,period_ms,ms
KVS,50,6
KVS,50,8
KVS,50,8
KVS,50,8
KVS,50,8
KVS,50,10
KVS,50,10
KVS,50,10
KVS,50,10
KVS,50,11
KVS,50,11
KVS,50,11
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,7
KVS,50,7
KVS,50,7
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,3
KVS,50,3
KVS,50,4
KVS,50,3
KVS,50,4
KVS,50,12
KVS,50,12
KVS,50,12
KVS,50,12
KVS,50,18
KVS,50,18
KVS,50,18
KVS,50,4
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,16
KVS,50,16
KVS,50,16
KVS,50,16
KVS,50,25
KVS,50,25
KVS,50,25
KVS,50,3
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,7
KVS,50,7
KVS,50,7
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,7
KVS,50,7
KVS,50,7
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,7
KVS,50,7
KVS,50,7
KVS,50,7
KVS,50,9
KVS,50,9
KVS,50,9
KVS,50,8
KVS,50,9
KVS,50,9
KVS,50,9
KVS,50,9
KVS,50,13
KVS,50,13
KVS,50,13
KVS,50,13
KVS,50,16
KVS,50,16
KVS,50,16
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,1
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,6
KVS,50,6
KVS,50,7
KVS,50,7
KVS,50,12
KVS,50,12
KVS,50,12
KVS,50,12
KVS,50,17
KVS,50,17
KVS,50,17
KVS,50,5
KVS,50,7
KVS,50,7
KVS,50,7
KVS,50,7
KVS,50,12
KVS,50,12
KVS,50,11
KVS,50,12
KVS,50,17
KVS,50,17
KVS,50,17
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,9
KVS,50,9
KVS,50,9
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,8
KVS,50,8
KVS,50,8
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,5
KVS,50,6
KVS,50,6
KVS,50,6
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,4
KVS,50,6
KVS,50,6
KVS,50,6
