metric,period_ms,ms
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,3
KVS,50,2
KVS,50,3
KVS,50,3
