metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,2,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
KVS,50,3,0,0,0,0
