metric,period_ms,ms,lag_ms
IvPSimLatency,50,10,10
IvPSimLatency,50,10,10
IvPSimLatency,50,10,10
IvPSimLatency,50,10,10
IvPSimLatency,50,10,18
IvPSimLatency,50,10,18
IvPSimLatency,50,10,18
IvPSimLatency,50,10,18
IvPSimLatency,50,10,26
IvPSimLatency,50,10,26
IvPSimLatency,50,10,26
IvPSimLatency,50,10,26
IvPSimLatency,50,11,36
IvPSimLatency,50,11,36
IvPSimLatency,50,11,36
IvPSimLatency,50,11,36
IvPSimLatency,50,11,46
IvPSimLatency,50,11,46
IvPSimLatency,50,11,46
IvPSimLatency,50,11,46
IvPSimLatency,50,12,56
IvPSimLatency,50,12,56
IvPSimLatency,50,12,56
IvPSimLatency,50,12,56
IvPSimLatency,50,11,66
IvPSimLatency,50,11,66
IvPSimLatency,50,11,66
IvPSimLatency,50,11,66
IvPSimLatency,50,11,76
IvPSimLatency,50,11,76
IvPSimLatency,50,11,76
IvPSimLatency,50,11,76
IvPSimLatency,50,11,86
IvPSimLatency,50,12,86
IvPSimLatency,50,11,86
IvPSimLatency,50,11,86
IvPSimLatency,50,11,96
IvPSimLatency,50,11,96
IvPSimLatency,50,11,96
IvPSimLatency,50,11,96
IvPSimLatency,50,11,106
IvPSimLatency,50,11,106
IvPSimLatency,50,11,106
IvPSimLatency,50,11,106
IvPSimLatency,50,11,116
IvPSimLatency,50,11,116
IvPSimLatency,50,11,116
IvPSimLatency,50,11,116
IvPSimLatency,50,11,125
IvPSimLatency,50,11,125
IvPSimLatency,50,11,125
IvPSimLatency,50,11,125
IvPSimLatency,50,11,135
IvPSimLatency,50,11,135
IvPSimLatency,50,11,135
IvPSimLatency,50,11,135
IvPSimLatency,50,11,145
IvPSimLatency,50,11,145
IvPSimLatency,50,11,145
IvPSimLatency,50,11,145
IvPSimLatency,50,12,155
IvPSimLatency,50,12,155
IvPSimLatency,50,11,155
IvPSimLatency,50,11,155
IvPSimLatency,50,11,164
IvPSimLatency,50,11,164
IvPSimLatency,50,11,164
IvPSimLatency,50,11,164
IvPSimLatency,50,12,175
IvPSimLatency,50,12,175
IvPSimLatency,50,12,175
IvPSimLatency,50,12,175
IvPSimLatency,50,11,185
IvPSimLatency,50,11,185
IvPSimLatency,50,11,185
IvPSimLatency,50,11,185
IvPSimLatency,50,12,195
IvPSimLatency,50,12,195
IvPSimLatency,50,12,195
IvPSimLatency,50,12,195
IvPSimLatency,50,12,206
IvPSimLatency,50,12,206
IvPSimLatency,50,12,206
IvPSimLatency,50,12,206
IvPSimLatency,50,11,216
IvPSimLatency,50,11,216
IvPSimLatency,50,11,216
IvPSimLatency,50,11,216
IvPSimLatency,50,11,226
IvPSimLatency,50,11,226
IvPSimLatency,50,11,226
IvPSimLatency,50,11,226
IvPSimLatency,50,12,236
IvPSimLatency,50,12,237
IvPSimLatency,50,11,237
IvPSimLatency,50,11,237
IvPSimLatency,50,11,247
IvPSimLatency,50,11,247
IvPSimLatency,50,11,247
IvPSimLatency,50,11,247
IvPSimLatency,50,11,257
IvPSimLatency,50,11,257
IvPSimLatency,50,11,257
