Start time:, 1754072193349933818
End time:, 1754072198365151029
Total time:, 5015217211

Total Event Occurrences
Reaction starts, 24370
Reaction ends, 24370
Schedule called, 801
Worker wait starts, 24379
Worker wait ends, 24379
Scheduler advancing time starts, 401
Scheduler advancing time ends, 401
Sending TIMESTAMP, 1
Sending NET, 403
Sending LTC, 201
Sending FED_ID, 1
Sending RESIGN, 1
Sending PORT_ABS, 8428
Sending TAGGED_MSG, 2800
Receiving ACK, 1
Receiving TIMESTAMP, 1
Receiving PTAG, 401
Receiving TAG, 77
Receiving PORT_ABS, 9327
Receiving TAGGED_MSG, 3104

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
p1.a.r, 0, 100, 34099, 0.000680, 340, 787, 121
p1.a.r, 1, 100, 1754072194259425882, 34974999495.778084, 17540721942594258, 1754072194259402586, 51
p1.a.r, 2, 100, 1451078, 0.028934, 14510, 1427061, 54
p1.a.r, 3, 101, 1754072197854427214, 34974999567.459953, 17367051463905219, 1754072197854392036, 141
p1.a.r, 4, 101, 22504, 0.000449, 222, 1009, 72
p1.a.r, 5, 101, 1243845, 0.024801, 12315, 1212006, 61
p1.a.r, 6, 101, 18584, 0.000371, 184, 683, 52
p1.a.r, 7, 101, 22837, 0.000455, 226, 2516, 94
p1.a.c, 0, 101, 33742, 0.000673, 334, 1282, 68
p1.a.c, 1, 100, 25813, 0.000515, 258, 891, 75
p1.a.c, 2, 100, 6345, 0.000127, 63, 169, 34
p1.a.c, 3, 100, 12428, 0.000248, 124, 5252, 33
p1.a.c, 4, 100, 3759598, 0.074964, 37595, 179283, 7590
p1.a.w, 0, 100, 19813, 0.000395, 198, 601, 55
p1.a.w, 1, 100, 9562, 0.000191, 95, 743, 51
p1.a.w, 2, 100, 17125, 0.000341, 171, 2027, 58
p1.a.w, 3, 100, 26380, 0.000526, 263, 879, 50
p1.a.a, 0, 100, 1351523, 0.026948, 13515, 1330713, 52
p1.a.delay, 0, 100, 79404, 0.001583, 794, 2237, 315
p1.a.delay, 1, 101, 284155, 0.005666, 2813, 87026, 394
p1.a.delay_0, 0, 100, 28389, 0.000566, 283, 934, 93
p1.a.delay_0, 1, 101, 415318, 0.008281, 4112, 150186, 431
p1.a.delay_1, 0, 100, 22828, 0.000455, 228, 852, 87
p1.a.delay_1, 1, 101, 474561, 0.009462, 4698, 133152, 1357
p1.ps, 0, 100, 34616, 0.000690, 346, 788, 149
p1.ps, 1, 100, 14871, 0.000297, 148, 1784, 36
p1.ps, 2, 100, 10405, 0.000207, 104, 420, 36
p1.ps, 3, 100, 38788, 0.000773, 387, 1167, 75
p1.ps, 4, 100, 19695, 0.000393, 196, 708, 65
p1.ps, 5, 100, 23109, 0.000461, 231, 845, 61
p1.ps, 6, 1, 27954, 0.000557, 27954, 27954, 27954
p1.us, 0, 100, 1754072196071639914, 34974999531.912399, 17540721960716399, 1754072196071601641, 170
p1.us, 1, 100, 28749, 0.000573, 287, 2346, 55
p1.us, 2, 100, 24492, 0.000488, 244, 2560, 76
p1.e1.et0, 0, 100, 27405, 0.000546, 274, 1809, 84
p1.e1.et1, 0, 100, 29626, 0.000591, 296, 3485, 89
p1.e1.et1, 1, 100, 26303, 0.000524, 263, 772, 81
p1.e1.et1, 2, 100, 31697, 0.000632, 316, 952, 68
p1.e1.et2, 0, 100, 32804, 0.000654, 328, 7829, 55
p1.e1.et2, 1, 100, 32969, 0.000657, 329, 8340, 57
p1.e1.et2, 2, 100, 31873, 0.000636, 318, 782, 81
p1.e1.et2, 3, 100, 25707, 0.000513, 257, 753, 70
p1.e1.et2, 4, 100, 31205, 0.000622, 312, 5291, 56
p1.e1.et2, 5, 100, 25843, 0.000515, 258, 689, 60
p1.e1.etr, 0, 100, 212128, 0.004230, 2121, 122683, 400
p1.e2.et0, 0, 100, 1754072195115005009, 34974999512.837753, 17540721951150050, 1754072195114973795, 75
p1.e2.et1, 0, 100, 28291, 0.000564, 282, 729, 68
p1.e2.et1, 1, 100, 27908, 0.000556, 279, 946, 63
p1.e2.et1, 2, 100, 33348, 0.000665, 333, 1126, 69
p1.e2.et2, 0, 100, 26516, 0.000529, 265, 697, 125
p1.e2.et2, 1, 100, 23957, 0.000478, 239, 738, 73
p1.e2.et2, 2, 100, 30843, 0.000615, 308, 993, 123
p1.e2.et2, 3, 100, 30580, 0.000610, 305, 683, 95
p1.e2.et2, 4, 100, 26852, 0.000535, 268, 584, 43
p1.e2.et2, 5, 100, 27065, 0.000540, 270, 824, 41
p1.e2.etr, 0, 100, 87210, 0.001739, 872, 4769, 323
p1.e3.et0, 0, 100, 30680, 0.000612, 306, 1753, 42
p1.e3.et1, 0, 100, 27185, 0.000542, 271, 785, 66
p1.e3.et1, 1, 100, 35197, 0.000702, 351, 1102, 111
p1.e3.et1, 2, 100, 31146, 0.000621, 311, 877, 84
p1.e3.et2, 0, 100, 25102, 0.000501, 251, 697, 96
p1.e3.et2, 1, 100, 27472, 0.000548, 274, 714, 89
p1.e3.et2, 2, 100, 22400, 0.000447, 224, 612, 86
p1.e3.et2, 3, 100, 25535, 0.000509, 255, 865, 71
p1.e3.et2, 4, 100, 24302, 0.000485, 243, 621, 51
p1.e3.et2, 5, 100, 29649, 0.000591, 296, 740, 42
p1.e3.etr, 0, 100, 63103, 0.001258, 631, 1675, 256
p1.delay, 0, 100, 1754072195226665862, 34974999515.064194, 17540721952266658, 1754072195226626308, 104
p1.delay, 1, 100, 389784, 0.007772, 3897, 26630, 1858
p1.delay_0, 0, 100, 34263, 0.000683, 342, 1547, 100
p1.delay_0, 1, 100, 285560, 0.005694, 2855, 10791, 455
p1.delay_1, 0, 100, 1754072194335344474, 34974999497.291847, 17540721943353444, 1754072194335287276, 196
p1.delay_1, 1, 100, 253133, 0.005047, 2531, 15288, 351
ns_federate__p2_3, 0, 1, 453, 0.000009, 453, 453, 453
ns_federate__p2_3, 1, 100, 7687788, 0.153289, 76877, 810264, 2499
ns_federate__p2_3, 2, 401, 14137367, 0.281889, 35255, 1907062, 43
ns_federate__p3_3, 0, 1, 235, 0.000005, 235, 235, 235
ns_federate__p3_3, 1, 100, 3600802, 0.071798, 36008, 254699, 5483
ns_federate__p3_3, 2, 401, 1754072195975730582, 34974999530.000031, 4374244877744964, 1754072195954373807, 48
ns_federate__p4_3, 0, 1, 565, 0.000011, 565, 565, 565
