Start time:, 1754072193349933818
End time:, 1754072198355137161
Total time:, 5005203343

Total Event Occurrences
Reaction starts, 9353
Reaction ends, 9353
Schedule called, 130
Worker wait starts, 9354
Worker wait ends, 9354
Scheduler advancing time starts, 401
Scheduler advancing time ends, 401
Sending TIMESTAMP, 1
Sending NET, 702
Sending LTC, 201
Sending FED_ID, 1
Sending RESIGN, 1
Sending PORT_ABS, 4800
Sending TAGGED_MSG, 1616
Receiving ACK, 1
Receiving TIMESTAMP, 1
Receiving PTAG, 401
Receiving PORT_ABS, 2404
Receiving TAGGED_MSG, 804

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
plant.s, 0, 100, 28271, 0.000565, 282, 604, 75
plant.s, 1, 101, 184145, 0.003679, 1823, 8843, 1138
plant.a, 0, 100, 4532890, 0.090564, 45328, 180393, 8176
plant.delay, 0, 100, 94976, 0.001898, 949, 1983, 302
plant.delay, 1, 100, 1754072194424989169, 35044973684.798187, 17540721944249891, 1754072194422395402, 916
ns_federate__s1, 0, 1, 156, 0.000003, 156, 156, 156
ns_federate__s1, 1, 101, 4992485, 0.099746, 49430, 284617, 3109
ns_federate__s1, 2, 401, 14536929, 0.290436, 36251, 329482, 50
ns_federate__s1_0, 0, 1, 99, 0.000002, 99, 99, 99
ns_federate__s1_0, 1, 101, 7473965, 0.149324, 73999, 484703, 2369
ns_federate__s1_0, 2, 401, 9309526, 0.185997, 23215, 1713189, 62
ns_federate__s1_1, 0, 1, 89, 0.000002, 89, 89, 89
ns_federate__s1_1, 1, 101, 6599718, 0.131857, 65343, 428680, 2420
ns_federate__s1_1, 2, 401, 1754072194484151456, 35044973685.980209, 4374244874025315, 1754072194476221691, 52
ns_federate__s1_2, 0, 1, 114, 0.000002, 114, 114, 114
ns_federate__s1_2, 1, 101, 5201693, 0.103926, 51501, 662762, 2626
ns_federate__s1_2, 2, 401, 7055240, 0.140958, 17594, 243447, 53
ns_federate__s2, 0, 1, 268, 0.000005, 268, 268, 268
ns_federate__s2, 1, 101, 3764687, 0.075215, 37274, 112680, 16316
ns_federate__s2, 2, 401, 14305995, 0.285822, 35675, 333091, 58
ns_federate__s2_0, 0, 1, 111, 0.000002, 111, 111, 111
ns_federate__s2_0, 1, 101, 3080356, 0.061543, 30498, 323632, 4087
ns_federate__s2_0, 2, 401, 11418762, 0.228138, 28475, 366139, 49
ns_federate__s2_1, 0, 1, 97, 0.000002, 97, 97, 97
ns_federate__s2_1, 1, 101, 2772961, 0.055402, 27455, 100301, 3731
ns_federate__s2_1, 2, 401, 11217644, 0.224120, 27974, 300713, 49
ns_federate__s2_2, 0, 1, 101, 0.000002, 101, 101, 101
ns_federate__s2_2, 1, 101, 2938585, 0.058711, 29094, 191476, 3544
ns_federate__s2_2, 2, 401, 8649220, 0.172805, 21569, 209681, 49
ns_federate__s3, 0, 1, 169, 0.000003, 169, 169, 169
ns_federate__s3, 1, 101, 10905053, 0.217874, 107970, 2346530, 13042
ns_federate__s3, 2, 401, 1754072198021431763, 35044973756.652267, 4374244882846463, 1754072198006980536, 57
ns_federate__s3_0, 0, 1, 147, 0.000003, 147, 147, 147
