Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay
Worker wait starts, NO REACTOR, 1, -1, 0, 0, 376239, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 1, -1, 0, 0, 376676, NO TRIGGER, 0
Reaction starts, ns_federate__plant_0, 1, 1, 0, 0, 376977, NO TRIGGER, -9223372036854775808
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, 377612, NO TRIGGER, 0
Reaction ends, ns_federate__plant_0, 1, 1, 0, 0, 391237, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 1, -1, 0, 0, 391379, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 1, -1, 0, 0, 391447, NO TRIGGER, 0
Reaction starts, ns_federate__plant_0, 1, 2, 0, 0, 391547, NO TRIGGER, -9223372036854775808
Reaction ends, ns_federate__plant_0, 1, 2, 0, 0, 391600, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 1, -1, 0, 0, 391660, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 1, -1, 0, 0, 1378970, NO TRIGGER, 0
Reaction starts, nr_federate__s2, 1, 0, 0, 0, 1379628, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s2, 1, 0, 0, 0, 1379998, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 1, -1, 0, 0, 1380579, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 1, -1, 0, 0, 1707387, NO TRIGGER, 0
Reaction starts, nr_federate__s2_0, 1, 0, 0, 0, 1708265, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s2_0, 1, 0, 0, 0, 1708754, NO TRIGGER, -9223372036854775808
Reaction starts, s2, 1, 1, 0, 0, 1709258, NO TRIGGER, -9223372036854775808
Reaction ends, s2, 1, 1, 0, 0, 1709500, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 1, -1, 0, 0, 1709941, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 1, -1, 0, 0, 1800686, NO TRIGGER, 0
Reaction starts, nr_federate__s2_1, 1, 0, 0, 0, 1801197, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s2_1, 1, 0, 0, 0, 1801631, NO TRIGGER, -9223372036854775808
Reaction starts, s2, 1, 2, 0, 0, 1802041, NO TRIGGER, -9223372036854775808
Reaction ends, s2, 1, 2, 0, 0, 1802204, NO TRIGGER, -9223372036854775808
Worker wait starts, NO REACTOR, 1, -1, 0, 0, 1802606, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 1, -1, 0, 0, 1802689, NO TRIGGER, 0
Worker wait starts, NO REACTOR, 1, -1, 0, 0, 1802750, NO TRIGGER, 0
Worker wait ends, NO REACTOR, 1, -1, 0, 0, 1938371, NO TRIGGER, 0
Reaction starts, nr_federate__s2_2, 1, 0, 0, 0, 1938818, NO TRIGGER, -9223372036854775808
Reaction ends, nr_federate__s2_2, 1, 0, 0, 0, 1939112, NO TRIGGER, -9223372036854775808
Reaction starts, s2, 1, 3, 0, 0, 1939446, NO TRIGGER, -9223372036854775808
Reaction ends, s2, 1, 3, 0, 0, 1939603, NO TRIGGER, -9223372036854775808
