metric,period_ms,ms
IvPSimLatency,50,43
IvPSimLatency,50,50
IvPSimLatency,50,51
IvPSimLatency,50,51
IvPSimLatency,50,40
IvPSimLatency,50,41
IvPSimLatency,50,41
IvPSimLatency,50,41
IvPSimLatency,50,14
IvPSimLatency,50,15
IvPSimLatency,50,15
IvPSimLatency,50,15
IvPSimLatency,50,15
IvPSimLatency,50,15
IvPSimLatency,50,15
IvPSimLatency,50,16
IvPSimLatency,50,23
IvPSimLatency,50,24
IvPSimLatency,50,25
IvPSimLatency,50,27
IvPSimLatency,50,19
IvPSimLatency,50,19
IvPSimLatency,50,19
IvPSimLatency,50,20
IvPSimLatency,50,25
IvPSimLatency,50,25
IvPSimLatency,50,26
IvPSimLatency,50,26
IvPSimLatency,50,16
IvPSimLatency,50,17
IvPSimLatency,50,17
IvPSimLatency,50,18
IvPSimLatency,50,20
IvPSimLatency,50,20
IvPSimLatency,50,21
IvPSimLatency,50,22
IvPSimLatency,50,13
IvPSimLatency,50,13
IvPSimLatency,50,13
IvPSimLatency,50,13
IvPSimLatency,50,24
IvPSimLatency,50,24
IvPSimLatency,50,25
IvPSimLatency,50,25
IvPSimLatency,50,24
IvPSimLatency,50,24
IvPSimLatency,50,25
IvPSimLatency,50,25
IvPSimLatency,50,14
IvPSimLatency,50,14
IvPSimLatency,50,14
IvPSimLatency,50,14
IvPSimLatency,50,17
IvPSimLatency,50,17
IvPSimLatency,50,17
IvPSimLatency,50,17
IvPSimLatency,50,27
IvPSimLatency,50,28
IvPSimLatency,50,28
IvPSimLatency,50,29
IvPSimLatency,50,23
IvPSimLatency,50,23
IvPSimLatency,50,23
IvPSimLatency,50,24
IvPSimLatency,50,25
IvPSimLatency,50,25
IvPSimLatency,50,25
IvPSimLatency,50,25
IvPSimLatency,50,21
IvPSimLatency,50,22
IvPSimLatency,50,23
IvPSimLatency,50,23
IvPSimLatency,50,15
IvPSimLatency,50,15
IvPSimLatency,50,16
IvPSimLatency,50,16
IvPSimLatency,50,31
IvPSimLatency,50,31
IvPSimLatency,50,31
IvPSimLatency,50,31
